title,url,listing_id,price,location,year,mileage,fuel_type,engine_cc,transmission,last_updated,spec_registered_in,spec_color,spec_assembly,spec_engine_capacity,spec_body_type,spec_last_updated,spec_ad_ref,features,description,seller_info,seller_phone,posted_date,image_urls,image_count,images_downloaded,spec_battery_capacity
Honda Civic Rebirth 2014 Oriel Prosmatec UG for Sale,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-lahore-11261523,11261523,PKR 36.75lacs,Lahore,2014,"125,000 km",Petrol,1800 cc,Automatic,Updated 1 minute ago,Punjab,Black,Local,1800 cc,Sedan,"Mar 15, 2026",11261523,,,"Member Since Jan 10, 2022",030XXXXXXXX,Added via Phone,https://cache4.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083738.webp|https://cache1.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083491.webp|https://cache3.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083493.webp|https://cache4.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083494.webp|https://cache2.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083490.webp|https://cache4.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083737.webp|https://cache1.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083740.webp|https://cache3.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083492.webp|https://cache3.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083735.webp|https://cache4.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083736.webp|https://cache2.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083739.webp|https://cache1.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083742.webp|https://cache2.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083741.webp|https://cache2.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083748.webp|https://cache3.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083743.webp|https://cache2.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083749.webp|https://cache4.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083744.webp|https://cache2.pakwheels.com/ad_pictures/1400/honda-civic-oriel-prosmatec-ug-2014-140083747.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,19,19,
Lexus Nx  2016 300H Luxury for Sale,https://www.pakwheels.com/used-cars/lexus-nx-2016-for-sale-in-islamabad-10972978,10972978,PKR 1.89crore,Islamabad,2016,"91,660 km",Hybrid,2500 cc,Automatic,Updated 1 minute ago,Un-Registered,White,Imported,2500 cc,SUV,"Mar 15, 2026",10972978,"Alloy Wheels, Sun Roof, Infotainment System, ABS, Air Bags, Immobilizer Key, Power Locks, Power Mirrors, Cruise Control, Keyless Entry, Power Steering, Air Conditioning",,,034XXXXXXXX,,https://cache3.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465252.webp|https://cache4.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465259.webp|https://cache4.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465260.webp|https://cache4.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465261.webp|https://cache3.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465262.webp|https://cache3.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465263.webp|https://cache2.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465264.webp|https://cache2.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465265.webp|https://cache2.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465266.webp|https://cache1.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465267.webp|https://cache2.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465268.webp|https://cache2.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465269.webp|https://cache4.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465273.webp|https://cache2.pakwheels.com/ad_pictures/1354/lexus-nx-300h-2016-135465274.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,15,15,
Hyundai Sonata  2025 N Line 2.5 Turbo for Sale,https://www.pakwheels.com/used-cars/hyundai-sonata-2025-for-sale-in-islamabad-11152052,11152052,PKR 1.69crore,Islamabad,2025,"17,000 km",Petrol,2500 cc,Automatic,Updated 2 minutes ago,Islamabad,White,Local,2500 cc,Sedan,"Mar 15, 2026",11152052,"Alloy Wheels, Sun Roof, Infotainment System, ABS, Air Bags, Immobilizer Key, Power Locks, Power Mirrors, Cruise Control, Keyless Entry, Power Steering, Air Conditioning",,,033XXXXXXXX,,https://cache2.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342596.webp|https://cache3.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342597.webp|https://cache1.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342598.webp|https://cache3.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342602.webp|https://cache4.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342603.webp|https://cache2.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342604.webp|https://cache3.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342605.webp|https://cache3.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342606.webp|https://cache2.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342607.webp|https://cache4.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342608.webp|https://cache4.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342609.webp|https://cache4.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342610.webp|https://cache3.pakwheels.com/ad_pictures/1383/hyundai-sonata-n-line-2-5-turbo-2025-138342611.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,14,14,
Toyota Crown  2014 Athlete S Package for Sale,https://www.pakwheels.com/used-cars/toyota-crown-2014-for-sale-in-islamabad-11152057,11152057,PKR 1.35crore,Islamabad,2014,"115,000 km",Petrol,3500 cc,Automatic,Updated 2 minutes ago,Islamabad,Black,Imported,3500 cc,Sedan,"Mar 15, 2026",11152057,"Alloy Wheels, Infotainment System, ABS, Air Bags, Immobilizer Key, Power Locks, Power Mirrors, Cruise Control, Keyless Entry, Power Steering, Air Conditioning",,,033XXXXXXXX,,https://cache3.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342665.webp|https://cache4.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342666.webp|https://cache1.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342667.webp|https://cache3.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342668.webp|https://cache2.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342669.webp|https://cache1.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342670.webp|https://cache3.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342671.webp|https://cache4.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342672.webp|https://cache1.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342673.webp|https://cache1.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342674.webp|https://cache3.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342675.webp|https://cache1.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342676.webp|https://cache1.pakwheels.com/ad_pictures/1383/toyota-crown-athlete-s-package-2014-138342677.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,14,14,
Hyundai Tucson  2020 AWD A/T Ultimate for Sale,https://www.pakwheels.com/used-cars/hyundai-tucson-2020-for-sale-in-islamabad-11261553,11261553,PKR 73lacs,Islamabad,2020,"73,000 km",Petrol,2000 cc,Automatic,Updated 2 minutes ago,Islamabad,Polar White,Local,2000 cc,SUV,"Mar 15, 2026",11261553,"Alloy Wheels, Front Fog Lights, DRLs, Panoramic Sunroof, Infotainment System, Android Auto, Apple CarPlay, Front Speakers, Rear Speakers, Steering Switches, ABS, Air Bags, Traction Control, Parking Sensors, Rear Camera, Immobilizer Key, Power Locks, Power Seats, Power Mirrors, Rear AC Vents, Climate Control, Cruise Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Nov 30, 2020",032XXXXXXXX,Added via Phone,https://cache1.pakwheels.com/ad_pictures/1400/hyundai-tucson-awd-a-t-ultimate-2020-140084066.webp|https://cache2.pakwheels.com/ad_pictures/1400/hyundai-tucson-awd-a-t-ultimate-2020-140084064.webp|https://cache4.pakwheels.com/ad_pictures/1400/hyundai-tucson-awd-a-t-ultimate-2020-140084063.webp|https://cache2.pakwheels.com/ad_pictures/1400/hyundai-tucson-awd-a-t-ultimate-2020-140084068.webp|https://cache4.pakwheels.com/ad_pictures/1400/hyundai-tucson-awd-a-t-ultimate-2020-140084067.webp|https://cache3.pakwheels.com/ad_pictures/1400/hyundai-tucson-awd-a-t-ultimate-2020-140084065.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,7,7,
Toyota Hilux  2023 Revo V Automatic 2.8 for Sale,https://www.pakwheels.com/used-cars/toyota-hilux-2023-for-sale-in-karachi-11261545,11261545,PKR 1.36crore,Karachi,2023,"55,000 km",Diesel,2800 cc,Automatic,Updated 2 minutes ago,Sindh,Super White,Local,2800 cc,Double Cabin,"Mar 15, 2026",11261545,"Alloy Wheels, Front Fog Lights, DRLs, Infotainment System, Android Auto, Apple CarPlay, Front Speakers, Rear Speakers, Steering Switches, ABS, Air Bags, Traction Control, Parking Sensors, Rear Camera, Immobilizer Key, Power Locks, Power Seats, Power Mirrors, Rear AC Vents, Climate Control, Cruise Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Feb 27, 2017",030XXXXXXXX,Added via Phone,https://cache3.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140082999.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140083000.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140083002.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140082997.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140082998.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140083003.webp|https://cache2.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140083004.webp|https://cache1.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140083010.webp|https://cache2.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140083006.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140083008.webp|https://cache4.pakwheels.com/ad_pictures/1400/toyota-hilux-revo-v-automatic-2-8-2023-140083007.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,12,12,
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-11255031,11255031,PKR 47.5lacs,Islamabad,2017,"150,000 km",Petrol,1800 cc,Automatic,Updated 3 minutes ago,Islamabad,Black,Local,1800 cc,Sedan,"Mar 15, 2026",11255031,"Alloy Wheels, Front Fog Lights, DRLs, Sun Roof, Infotainment System, Front Speakers, Rear Speakers, Steering Switches, ABS, Air Bags, Traction Control, Rear Camera, Immobilizer Key, Power Locks, Power Mirrors, Rear AC Vents, Climate Control, Cruise Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Jun 03, 2016",031XXXXXXXX,Added via Phone,https://cache3.pakwheels.com/ad_pictures/1399/honda-civic-oriel-1-8-i-vtec-cvt-2017-139980607.webp|https://cache3.pakwheels.com/ad_pictures/1399/honda-civic-oriel-1-8-i-vtec-cvt-2017-139980608.webp|https://cache4.pakwheels.com/ad_pictures/1399/honda-civic-oriel-1-8-i-vtec-cvt-2017-139980605.webp|https://cache3.pakwheels.com/ad_pictures/1399/honda-civic-oriel-1-8-i-vtec-cvt-2017-139980606.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,5,5,
Toyota C-HR  2019 G-LED for Sale,https://www.pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-islamabad-11190655,11190655,PKR 80.5lacs,Islamabad,2019,"113,000 km",Hybrid,1800 cc,Automatic,Updated 4 minutes ago,Un-Registered,White Pearl,Imported,1800 cc,Crossover,"Mar 15, 2026",11190655,"Alloy Wheels, Front Fog Lights, DRLs, Infotainment System, Front Speakers, Rear Speakers, Steering Switches, ABS, Air Bags, Traction Control, Tyre Pressure Monitoring System (TPMS), Parking Sensors, Rear Camera, Immobilizer Key, Power Locks, Heated Seats, Power Mirrors, Climate Control, Cruise Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Feb 23, 2026",033XXXXXXXX,Added via Phone,https://cache4.pakwheels.com/ad_pictures/1390/toyota-c-hr-g-led-2019-139024444.webp|https://cache3.pakwheels.com/ad_pictures/1400/toyota-c-hr-g-led-2019-140053356.webp|https://cache3.pakwheels.com/ad_pictures/1390/toyota-c-hr-g-led-2019-139024442.webp|https://cache4.pakwheels.com/ad_pictures/1389/toyota-c-hr-g-led-2019-138955550.webp|https://cache4.pakwheels.com/ad_pictures/1390/toyota-c-hr-g-led-2019-139024441.webp|https://cache1.pakwheels.com/ad_pictures/1389/toyota-c-hr-g-led-2019-138955552.webp|https://cache1.pakwheels.com/ad_pictures/1389/toyota-c-hr-g-led-2019-138955553.webp|https://cache3.pakwheels.com/ad_pictures/1389/toyota-c-hr-g-led-2019-138955554.webp|https://cache2.pakwheels.com/ad_pictures/1389/toyota-c-hr-g-led-2019-138955551.webp|https://cache1.pakwheels.com/ad_pictures/1389/toyota-c-hr-g-led-2019-138955555.webp|https://cache1.pakwheels.com/ad_pictures/1389/toyota-c-hr-g-led-2019-138955549.webp|https://cache4.pakwheels.com/ad_pictures/1389/toyota-c-hr-g-led-2019-138955556.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,13,13,
Daihatsu Mira  2022 Tocot for Sale,https://www.pakwheels.com/used-cars/daihatsu-mira-2022-for-sale-in-lahore-10833561,10833561,PKR 31.85lacs,Lahore,2022,"48,500 km",Petrol,660 cc,Automatic,Updated 6 minutes ago,Un-Registered,Grey,Imported,660 cc,Hatchback,"Mar 15, 2026",10833561,"Alloy Wheels, Infotainment System, Front Speakers, Rear Speakers, ABS, Air Bags, Traction Control, Parking Sensors, Rear Camera, Immobilizer Key, Power Locks, Power Mirrors, Climate Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,"Member Since Aug 01, 2017",032XXXXXXXX,Added via Phone,https://cache1.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246723.webp|https://cache3.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246729.webp|https://cache3.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246725.webp|https://cache2.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246724.webp|https://cache2.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246728.webp|https://cache1.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246726.webp|https://cache4.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246731.webp|https://cache2.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246727.webp|https://cache2.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246706.webp|https://cache4.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246702.webp|https://cache1.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246704.webp|https://cache3.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246730.webp|https://cache3.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246733.webp|https://cache3.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246732.webp|https://cache3.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246705.webp|https://cache1.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246709.webp|https://cache4.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246710.webp|https://cache4.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246703.webp|https://cache1.pakwheels.com/ad_pictures/1332/daihatsu-mira-l-sa-iii-2022-133246708.webp|https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-157dcfce213be997440c2dfc44e3038774a6aca0e9097986b01ca6abc9fd76f2.png,20,20,
Haval H6  2025 HEV for Sale9.8/10,https://www.pakwheels.com/used-cars/haval-h6-2025-for-sale-in-lahore-11246911,11246911,PKR 1.17crore,Lahore,2025,"22,880 km",Hybrid,1500 cc,Automatic,Updated 7 minutes ago,Punjab,Black,Local,1500 cc,SUV,"Mar 15, 2026",11246911,"Alloy Wheels, Front Fog Lights, DRLs, Panoramic Sunroof, Infotainment System, Head Up Display (HUD), Android Auto, Apple CarPlay, Front Speakers, Rear Speakers, Steering Switches, ABS, Air Bags, Traction Control, Tyre Pressure Monitoring System (TPMS), Parking Sensors, Front Camera, Rear Camera, 360 Camera, Immobilizer Key, Power Locks, Power Mirrors, Rear AC Vents, Climate Control, Cruise Control, Push Start, Keyless Entry, Power Steering, Air Conditioning",,,033XXXXXXXX,Added via Phone,https://cache1.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964490.webp|https://cache3.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964491.webp|https://cache1.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964492.webp|https://cache3.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964493.webp|https://cache3.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964494.webp|https://cache3.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964495.webp|https://cache1.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964496.webp|https://cache3.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964497.webp|https://cache4.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964498.webp|https://cache2.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964499.webp|https://cache3.pakwheels.com/ad_pictures/1399/haval-h6-hev-2025-139964500.webp,11,11,
